rankbreeze_Id,rental_id,orig_price_per_night,cleaning_fee,service_fee,total_price,price_per_night,check_in_date,check_out_date
51045,862225236403589050,206.0,285.0,128.0,1038.0,156.0,2024-06-11,2024-06-15
51045,862225236403589050,378.0,400.0,189.0,1525.0,234.0,2024-06-11,2024-06-15
51045,862225236403589050,562.0,399.0,0,2407.0,502.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,400.0,219.0,1771.0,288.0,2024-06-11,2024-06-15
51045,862225236403589050,310.0,275.0,179.0,1450.0,249.0,2024-06-11,2024-06-15
51045,862225236403589050,291.0,230.0,171.0,1385.0,246.0,2024-06-11,2024-06-15
51045,862225236403589050,497.0,480.0,293.0,2365.0,398.0,2024-06-11,2024-06-15
51045,862225236403589050,310.0,415.0,190.0,1537.0,233.0,2024-06-11,2024-06-15
51045,862225236403589050,340.0,300.0,212.0,1715.0,301.0,2024-06-11,2024-06-15
51045,862225236403589050,225.0,290.0,153.0,1237.0,199.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,450.0,283.0,2287.0,389.0,2024-06-11,2024-06-15
51045,862225236403589050,315.0,339.0,194.0,1566.0,258.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,360.0,157.0,1267.0,188.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,295.0,153.0,1236.0,197.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,380.0,248.0,2008.0,345.0,2024-06-11,2024-06-15
51045,862225236403589050,300.0,249.0,141.0,1137.0,187.0,2024-06-11,2024-06-15
51045,862225236403589050,246.0,299.0,159.0,1284.0,207.0,2024-06-11,2024-06-15
51045,862225236403589050,331.0,339.0,204.0,1648.0,276.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,260.0,152.0,1232.0,205.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,229.0,150.0,1212.0,208.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,350.0,273.0,2204.0,395.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,420.0,0,2369.0,487.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,0,150.0,1210.0,265.0,2024-06-11,2024-06-15
51045,862225236403589050,322.0,299.0,193.0,1563.0,268.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,295.0,278.0,2247.0,419.0,2024-06-11,2024-06-15
51045,862225236403589050,294.0,299.0,0,1371.0,268.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,599.0,380.0,3070.0,523.0,2024-06-11,2024-06-15
